Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Aaron Judge,592450,147,51.0,37.0,34.0,7.0,0.0,11.0,68.0,37.0,3.0,52.0,1.0,0.28,186.0,0.4,0.495,0.895,1.0,2.0,0.667,8.0,991.0,226.0,92.0,28.0,72.0,0.0,1.0,0.38,1.23,0.182,6.0,0.206,0.479,0.273,0.228,13.0,0.362,0.766,0.404,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Romine,519222,147,42.0,36.0,14.0,5.0,0.0,3.0,28.0,3.0,0.0,34.0,0.0,0.262,130.0,0.276,0.369,0.645,0.0,1.0,1.0,3.0,478.0,135.0,48.0,22.0,54.0,1.0,1.0,0.31,1.06,0.409,9.0,0.417,1.053,0.636,0.41,16.0,0.415,1.056,0.641,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Maybin,457727,147,44.0,18.0,30.0,8.0,0.0,5.0,34.0,17.0,0.0,40.0,0.0,0.323,124.0,0.404,0.508,0.912,3.0,6.0,0.667,2.0,601.0,141.0,63.0,15.0,46.0,0.0,0.0,0.412,0.56,0.55,11.0,0.625,1.575,0.95,0.408,20.0,0.463,1.198,0.735,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,11.0,0.273,3.0,0.333,0.878,0.545,0.0
Didi Gregorius,544369,147,38.0,34.0,24.0,7.0,1.0,7.0,24.0,7.0,0.0,42.0,0.0,0.276,152.0,0.306,0.474,0.78,1.0,1.0,0.5,2.0,604.0,160.0,72.0,29.0,59.0,0.0,1.0,0.287,0.64,0.379,11.0,0.424,1.217,0.793,0.298,17.0,0.339,0.918,0.579,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,10.0,0.2,2.0,0.333,0.533,0.2,1.0
DJ LeMahieu,518934,147,95.0,114.0,74.0,23.0,2.0,15.0,60.0,31.0,0.0,130.0,2.0,0.332,391.0,0.382,0.517,0.898,2.0,4.0,0.667,7.0,1606.0,428.0,202.0,71.0,113.0,1.0,3.0,0.361,1.25,0.375,9.0,0.483,1.15,0.667,0.305,18.0,0.379,0.871,0.492,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,58.0,0.293,17.0,0.293,0.724,0.431,0.0
Edwin Encarnacion,429665,147,98.0,66.0,72.0,17.0,0.0,30.0,94.0,54.0,1.0,88.0,6.0,0.235,375.0,0.338,0.52,0.858,1.0,0.0,0.0,4.0,1930.0,438.0,195.0,74.0,140.0,0.0,3.0,0.228,0.51,0.355,11.0,0.412,1.057,0.645,0.323,20.0,0.391,1.068,0.677,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,6.0,0.167,1.0,0.167,0.5,0.333,0.0
Gio Urshela,570482,147,87.0,73.0,45.0,23.0,0.0,11.0,48.0,17.0,0.0,86.0,4.0,0.312,276.0,0.355,0.514,0.87,1.0,1.0,0.5,9.0,1138.0,301.0,142.0,49.0,113.0,0.0,4.0,0.339,1.0,0.444,12.0,0.444,1.333,0.889,0.346,18.0,0.358,1.07,0.712,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gleyber Torres,650402,147,98.0,74.0,65.0,17.0,0.0,20.0,89.0,39.0,2.0,105.0,1.0,0.288,365.0,0.355,0.499,0.853,2.0,4.0,0.667,6.0,1681.0,410.0,182.0,55.0,134.0,1.0,4.0,0.327,0.73,0.214,6.0,0.29,0.611,0.321,0.263,15.0,0.323,0.674,0.351,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,3.0,0.667,2.0,0.667,1.667,1.0,0.0
Kyle Higashioka,543309,147,7.0,2.0,3.0,2.0,0.0,1.0,13.0,0.0,0.0,5.0,0.0,0.192,26.0,0.185,0.385,0.57,0.0,0.0,0.0,1.0,134.0,27.0,10.0,4.0,10.0,0.0,1.0,0.308,0.29,0.192,5.0,0.185,0.57,0.385,0.192,5.0,0.185,0.57,0.385,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Voit,572228,147,94.0,71.0,60.0,16.0,1.0,19.0,114.0,58.0,2.0,97.0,8.0,0.278,349.0,0.392,0.493,0.885,0.0,0.0,0.0,10.0,1629.0,416.0,172.0,54.0,152.0,0.0,1.0,0.359,1.04,0.36,9.0,0.467,1.027,0.56,0.283,15.0,0.387,0.821,0.434,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,3.0,0.0,0.0,0.25,0.25,0.0,0.0
Mike Tauchman,643565,147,54.0,40.0,30.0,12.0,1.0,6.0,48.0,19.0,0.0,42.0,0.0,0.273,154.0,0.353,0.481,0.833,0.0,2.0,1.0,6.0,769.0,173.0,74.0,25.0,72.0,0.0,0.0,0.36,1.67,0.379,11.0,0.4,0.952,0.552,0.417,20.0,0.472,1.16,0.688,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,6.0,0.167,1.0,0.167,0.334,0.167,1.0
Tyler Wade,642180,147,21.0,17.0,9.0,0.0,0.0,1.0,18.0,7.0,0.0,11.0,1.0,0.216,51.0,0.322,0.275,0.597,0.0,5.0,1.0,0.0,235.0,61.0,14.0,6.0,24.0,2.0,0.0,0.313,2.43,0.167,3.0,0.286,0.619,0.333,0.222,8.0,0.349,0.655,0.306,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Adam Jones,430945,109,97.0,106.0,54.0,21.0,0.0,13.0,69.0,21.0,2.0,100.0,7.0,0.269,372.0,0.318,0.43,0.748,1.0,2.0,0.667,14.0,1449.0,404.0,160.0,47.0,145.0,0.0,3.0,0.297,1.06,0.296,8.0,0.31,0.68,0.37,0.298,17.0,0.349,0.717,0.368,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,34.0,0.353,12.0,0.389,1.065,0.676,0.0
Alex Avila,488671,109,36.0,32.0,14.0,5.0,0.0,6.0,35.0,23.0,5.0,20.0,1.0,0.211,95.0,0.37,0.453,0.822,0.0,1.0,1.0,6.0,486.0,119.0,43.0,15.0,36.0,0.0,0.0,0.259,4.0,0.13,3.0,0.231,0.535,0.304,0.2,10.0,0.298,0.798,0.5,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,7.0,0.143,1.0,0.143,0.429,0.286,1.0
Carson Kelly,608348,109,74.0,44.0,29.0,17.0,0.0,14.0,47.0,28.0,7.0,57.0,1.0,0.273,209.0,0.36,0.555,0.915,0.0,0.0,0.0,8.0,1029.0,239.0,116.0,37.0,91.0,0.0,1.0,0.289,0.71,0.316,6.0,0.409,1.251,0.842,0.239,11.0,0.352,0.961,0.609,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Walker,572233,109,101.0,75.0,55.0,20.0,1.0,20.0,111.0,40.0,2.0,90.0,5.0,0.254,354.0,0.338,0.486,0.823,1.0,7.0,0.875,5.0,1620.0,400.0,172.0,52.0,159.0,0.0,1.0,0.313,0.95,0.217,5.0,0.333,0.681,0.348,0.2,10.0,0.359,0.739,0.38,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,2.0,0.5,1.0,0.5,1.0,0.5,0.0
David Peralta,444482,109,79.0,88.0,41.0,24.0,2.0,9.0,75.0,27.0,3.0,87.0,4.0,0.28,311.0,0.344,0.457,0.801,0.0,0.0,0.0,8.0,1258.0,343.0,142.0,45.0,127.0,0.0,1.0,0.342,1.42,0.105,2.0,0.19,0.295,0.105,0.224,11.0,0.283,0.569,0.286,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,2.0,0.5,1.0,0.5,1.0,0.5,1.0
Eduardo Escobar,500871,109,106.0,81.0,66.0,20.0,9.0,22.0,92.0,37.0,1.0,119.0,3.0,0.284,419.0,0.341,0.532,0.873,1.0,4.0,0.8,4.0,1786.0,466.0,223.0,80.0,163.0,0.0,7.0,0.311,0.6,0.16,4.0,0.3,0.46,0.16,0.222,14.0,0.286,0.746,0.46,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,18.0,0.333,6.0,0.333,0.722,0.389,1.0
Jake Lamb,571875,109,30.0,17.0,15.0,6.0,1.0,3.0,24.0,16.0,1.0,20.0,3.0,0.244,82.0,0.386,0.451,0.837,0.0,0.0,0.0,2.0,435.0,101.0,37.0,12.0,32.0,0.0,0.0,0.309,0.81,0.333,6.0,0.368,1.035,0.667,0.256,10.0,0.396,0.883,0.487,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jarrod Dyson,502481,109,86.0,79.0,46.0,7.0,2.0,6.0,57.0,34.0,0.0,68.0,1.0,0.251,271.0,0.336,0.358,0.693,2.0,24.0,0.923,1.0,1165.0,307.0,97.0,21.0,71.0,0.0,1.0,0.297,1.16,0.211,4.0,0.348,0.559,0.211,0.22,11.0,0.291,0.591,0.3,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,8.0,0.25,2.0,0.333,0.833,0.5,1.0
Ketel Marte,606466,109,104.0,112.0,70.0,25.0,6.0,23.0,65.0,37.0,2.0,132.0,3.0,0.316,418.0,0.374,0.569,0.943,1.0,5.0,0.833,7.0,1748.0,460.0,238.0,65.0,141.0,0.0,2.0,0.328,1.01,0.222,6.0,0.344,0.788,0.444,0.339,19.0,0.456,1.045,0.589,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,7.0,0.429,3.0,0.429,1.429,1.0,1.0
Nick Ahmed,605113,109,106.0,113.0,55.0,23.0,3.0,10.0,76.0,35.0,1.0,99.0,2.0,0.265,373.0,0.324,0.424,0.747,0.0,6.0,1.0,10.0,1579.0,421.0,158.0,52.0,165.0,1.0,10.0,0.3,1.18,0.217,5.0,0.357,0.748,0.391,0.265,13.0,0.377,0.744,0.367,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,2.0,0.5,1.0,0.5,1.0,0.5,0.0
Tim Locastro,641796,109,58.0,36.0,23.0,7.0,2.0,0.0,23.0,10.0,0.0,35.0,14.0,0.254,138.0,0.362,0.333,0.695,0.0,9.0,1.0,0.0,647.0,164.0,46.0,14.0,61.0,1.0,1.0,0.302,0.78,0.25,4.0,0.294,0.669,0.375,0.273,12.0,0.304,0.645,0.341,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilmer Flores,527038,109,50.0,39.0,13.0,10.0,0.0,2.0,17.0,8.0,0.0,40.0,3.0,0.274,146.0,0.323,0.384,0.706,0.0,0.0,0.0,6.0,601.0,158.0,56.0,15.0,70.0,0.0,1.0,0.297,0.76,0.222,4.0,0.263,0.541,0.278,0.27,10.0,0.325,0.676,0.351,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,5.0,0.2,1.0,0.2,0.4,0.2,0.0
Yasmany Tomas,630111,109,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,11.69,1.17,13.3,3.26,22.1,17.42,11.81,0.0,0.66,2.13,6.85,3.22,1.84,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Gordon,460086,118,103.0,117.0,61.0,27.0,1.0,11.0,72.0,35.0,3.0,110.0,13.0,0.284,387.0,0.358,0.444,0.803,1.0,5.0,0.833,8.0,1641.0,442.0,172.0,60.0,147.0,1.0,6.0,0.319,1.23,0.3,9.0,0.364,0.697,0.333,0.333,21.0,0.373,0.817,0.444,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Billy Hamilton,571740,118,89.0,66.0,30.0,10.0,2.0,0.0,70.0,24.0,0.0,55.0,0.0,0.211,261.0,0.275,0.264,0.54,5.0,17.0,0.773,1.0,1132.0,290.0,69.0,12.0,100.0,3.0,2.0,0.285,0.88,0.125,2.0,0.176,0.364,0.188,0.161,5.0,0.182,0.408,0.226,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bubba Starling,605490,118,14.0,12.0,9.0,2.0,0.0,1.0,18.0,3.0,0.0,15.0,0.0,0.273,55.0,0.31,0.364,0.674,0.0,1.0,1.0,1.0,219.0,58.0,20.0,3.0,24.0,0.0,0.0,0.389,1.2,0.258,8.0,0.258,0.645,0.387,0.273,15.0,0.31,0.674,0.364,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Gallagher,595956,118,42.0,31.0,12.0,7.0,0.0,1.0,27.0,11.0,0.0,27.0,3.0,0.233,116.0,0.313,0.319,0.632,1.0,0.0,0.0,3.0,526.0,132.0,37.0,9.0,44.0,1.0,1.0,0.292,0.94,0.304,7.0,0.385,0.82,0.435,0.35,14.0,0.458,1.008,0.55,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheslor Cuthbert,596144,118,50.0,52.0,15.0,10.0,0.0,6.0,45.0,9.0,1.0,56.0,1.0,0.287,195.0,0.322,0.431,0.753,0.0,1.0,1.0,9.0,795.0,205.0,84.0,28.0,86.0,0.0,0.0,0.347,1.24,0.267,8.0,0.313,0.646,0.333,0.295,18.0,0.348,0.758,0.41,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberto Arteaga,600858,118,21.0,30.0,6.0,1.0,0.0,0.0,12.0,4.0,0.0,13.0,1.0,0.191,68.0,0.247,0.206,0.452,0.0,1.0,1.0,2.0,283.0,75.0,14.0,3.0,33.0,2.0,0.0,0.232,2.0,0.105,2.0,0.15,0.255,0.105,0.188,9.0,0.25,0.458,0.208,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Dozier,641531,118,86.0,56.0,47.0,19.0,5.0,16.0,81.0,42.0,2.0,90.0,3.0,0.284,317.0,0.37,0.527,0.897,1.0,1.0,0.5,6.0,1388.0,365.0,167.0,57.0,142.0,0.0,3.0,0.332,0.6,0.241,7.0,0.333,0.712,0.379,0.31,18.0,0.403,0.955,0.552,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Soler,624585,118,109.0,89.0,55.0,22.0,0.0,28.0,122.0,43.0,0.0,99.0,7.0,0.248,399.0,0.33,0.514,0.843,1.0,0.0,0.0,13.0,1833.0,452.0,205.0,73.0,177.0,0.0,3.0,0.282,0.97,0.231,6.0,0.344,0.767,0.423,0.255,13.0,0.409,0.88,0.471,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meibrys Viloria,650619,118,7.0,5.0,1.0,2.0,0.0,0.0,7.0,4.0,0.0,6.0,0.0,0.273,22.0,0.385,0.364,0.748,0.0,0.0,0.0,0.0,106.0,26.0,8.0,2.0,5.0,0.0,0.0,0.4,1.25,0.273,6.0,0.385,0.749,0.364,0.273,6.0,0.385,0.749,0.364,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nicky Lopez,670032,118,64.0,104.0,30.0,12.0,1.0,1.0,39.0,13.0,0.0,56.0,1.0,0.227,247.0,0.268,0.296,0.564,1.0,1.0,0.5,5.0,992.0,265.0,73.0,15.0,115.0,4.0,0.0,0.266,2.0,0.16,4.0,0.222,0.422,0.2,0.185,10.0,0.214,0.436,0.222,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ryan O'Hearn,656811,118,60.0,58.0,19.0,7.0,1.0,6.0,57.0,26.0,1.0,36.0,1.0,0.181,199.0,0.278,0.317,0.594,1.0,0.0,0.0,4.0,909.0,227.0,63.0,20.0,100.0,0.0,1.0,0.219,1.18,0.125,3.0,0.16,0.41,0.25,0.16,8.0,0.222,0.462,0.24,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Whit Merrifield,593160,118,109.0,101.0,75.0,29.0,9.0,12.0,85.0,36.0,4.0,138.0,4.0,0.302,457.0,0.357,0.484,0.84,8.0,15.0,0.652,5.0,1889.0,499.0,221.0,55.0,148.0,0.0,2.0,0.348,0.75,0.207,6.0,0.303,0.544,0.241,0.262,17.0,0.333,0.718,0.385,0.306,5.63,0.92,11.25,1.13,24.0,17.38,6.0,1.0,0.64,3.14,8.25,2.63,1.54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy McKinney,641856,141,54.0,44.0,26.0,11.0,1.0,7.0,50.0,12.0,0.0,38.0,2.0,0.216,176.0,0.272,0.409,0.681,2.0,0.0,0.0,0.0,719.0,193.0,72.0,17.0,60.0,2.0,1.0,0.258,0.94,0.174,4.0,0.24,0.762,0.522,0.167,7.0,0.255,0.755,0.5,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bo Bichette,666182,141,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.375,8.0,0.444,0.375,0.819,0.0,0.0,0.0,0.0,35.0,9.0,3.0,0.0,6.0,0.0,0.0,0.429,0.33,0.375,3.0,0.444,0.819,0.375,0.375,3.0,0.444,0.819,0.375,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Drury,592273,141,82.0,74.0,30.0,15.0,1.0,11.0,84.0,18.0,0.0,63.0,1.0,0.219,288.0,0.265,0.392,0.657,0.0,0.0,0.0,5.0,1243.0,310.0,113.0,28.0,124.0,0.0,3.0,0.265,1.06,0.207,6.0,0.258,0.706,0.448,0.22,11.0,0.259,0.739,0.48,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cavan Biggio,624415,141,53.0,32.0,32.0,6.0,0.0,8.0,63.0,37.0,0.0,38.0,0.0,0.211,180.0,0.344,0.378,0.722,0.0,7.0,1.0,0.0,987.0,219.0,68.0,26.0,63.0,0.0,1.0,0.273,0.67,0.179,5.0,0.303,0.696,0.393,0.164,9.0,0.303,0.576,0.273,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Danny Jansen,643376,141,83.0,68.0,28.0,11.0,1.0,8.0,62.0,23.0,0.0,53.0,4.0,0.203,261.0,0.277,0.345,0.622,0.0,0.0,0.0,6.0,1083.0,290.0,90.0,32.0,100.0,1.0,1.0,0.234,0.85,0.1,2.0,0.217,0.367,0.15,0.156,7.0,0.255,0.433,0.178,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddy Galvis,520471,141,103.0,94.0,49.0,21.0,1.0,15.0,97.0,20.0,1.0,108.0,0.0,0.267,405.0,0.3,0.435,0.735,1.0,4.0,0.8,10.0,1620.0,426.0,176.0,50.0,161.0,0.0,1.0,0.316,0.88,0.182,6.0,0.182,0.394,0.212,0.265,18.0,0.265,0.574,0.309,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Justin Smoak,475253,141,86.0,73.0,42.0,8.0,0.0,18.0,71.0,60.0,1.0,63.0,5.0,0.215,293.0,0.357,0.427,0.783,0.0,0.0,0.0,6.0,1487.0,359.0,125.0,46.0,114.0,0.0,1.0,0.22,0.84,0.25,5.0,0.423,1.123,0.7,0.204,10.0,0.35,0.819,0.469,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Lourdes Gurriel Jr.,666971,141,71.0,58.0,47.0,17.0,2.0,18.0,68.0,17.0,0.0,77.0,4.0,0.291,265.0,0.34,0.574,0.914,4.0,5.0,0.556,4.0,1067.0,288.0,152.0,45.0,104.0,0.0,2.0,0.326,0.91,0.318,7.0,0.4,0.764,0.364,0.276,16.0,0.323,0.806,0.483,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randal Grichuk,545341,141,101.0,86.0,48.0,16.0,2.0,17.0,117.0,28.0,0.0,90.0,4.0,0.231,389.0,0.289,0.414,0.703,1.0,1.0,0.5,9.0,1627.0,422.0,161.0,47.0,178.0,0.0,1.0,0.285,0.89,0.269,7.0,0.296,0.796,0.5,0.214,12.0,0.279,0.69,0.411,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reese McGuire,624512,141,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.2,5.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,16.0,5.0,1.0,0.0,3.0,0.0,0.0,0.333,0.0,0.2,1.0,0.2,0.4,0.2,0.2,1.0,0.2,0.4,0.2,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Teoscar Hernandez,606192,141,79.0,53.0,36.0,10.0,1.0,15.0,88.0,26.0,1.0,59.0,0.0,0.22,268.0,0.288,0.433,0.721,1.0,4.0,0.8,5.0,1217.0,295.0,116.0,38.0,111.0,0.0,1.0,0.265,0.77,0.269,7.0,0.367,1.021,0.654,0.306,15.0,0.393,1.169,0.776,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,1.0,1.0,1.0,1.0,3.0,2.0,0.0
Vladimir Guerrero Jr.,665489,141,78.0,85.0,38.0,16.0,0.0,11.0,58.0,33.0,0.0,76.0,1.0,0.261,291.0,0.337,0.43,0.767,1.0,0.0,0.0,13.0,1269.0,326.0,125.0,43.0,127.0,0.0,1.0,0.291,1.16,0.357,10.0,0.438,1.117,0.679,0.31,18.0,0.385,0.902,0.517,0.241,4.4,1.21,8.22,1.19,30.2,16.5,4.77,0.0,0.62,2.91,9.39,3.23,1.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Blackmon,453568,115,89.0,97.0,77.0,26.0,7.0,21.0,75.0,24.0,0.0,121.0,5.0,0.319,379.0,0.367,0.591,0.958,3.0,2.0,0.4,5.0,1556.0,409.0,224.0,62.0,91.0,0.0,1.0,0.352,1.11,0.32,8.0,0.393,0.833,0.44,0.283,17.0,0.328,0.745,0.417,0.269,3.23,1.59,9.39,0.89,30.2,15.29,3.28,0.0,0.64,2.89,7.63,2.64,1.34,0.67,30.0,0.333,10.0,0.394,0.927,0.533,0.0
Chris Iannetta,455104,115,48.0,29.0,18.0,9.0,0.0,6.0,49.0,18.0,3.0,29.0,1.0,0.22,132.0,0.316,0.424,0.74,0.0,0.0,0.0,8.0,624.0,152.0,56.0,21.0,51.0,0.0,1.0,0.295,1.12,0.143,3.0,0.28,0.47,0.19,0.154,6.0,0.233,0.515,0.282,0.269,3.23,1.59,9.39,0.89,30.2,15.29,3.28,0.0,0.64,2.89,7.63,2.64,1.34,0.67,13.0,0.077,1.0,0.143,0.297,0.154,1.0
Daniel Murphy,502517,115,82.0,76.0,40.0,22.0,1.0,11.0,47.0,23.0,0.0,82.0,0.0,0.287,286.0,0.337,0.486,0.823,1.0,1.0,0.5,6.0,1222.0,314.0,139.0,59.0,111.0,0.0,3.0,0.307,0.9,0.346,9.0,0.393,1.085,0.692,0.241,13.0,0.281,0.707,0.426,0.269,3.23,1.59,9.39,0.89,30.2,15.29,3.28,0.0,0.64,2.89,7.63,2.64,1.34,0.67,19.0,0.263,5.0,0.263,0.526,0.263,0.0
