Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBatsPerHomeRun_h2h,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Tyler Austin,592122,137,72.0,26.0,25.0,3.0,1.0,8.0,60.0,18.0,0.0,25.0,0.0,0.187,134.0,0.283,0.403,0.686,0.0,1.0,1.0,1.0,671.0,152.0,54.0,20.0,54.0,0.0,0.0,0.258,1.13,16.75,0.0,0.167,2.0,0.231,0.398,0.167,23.0,0.13,3.0,0.2,0.461,0.261,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Will Smith,669257,119,14.0,6.0,8.0,5.0,0.0,6.0,15.0,3.0,1.0,15.0,1.0,0.349,43.0,0.396,0.884,1.28,0.0,1.0,1.0,1.0,203.0,48.0,38.0,19.0,11.0,0.0,1.0,0.391,0.75,7.17,7.0,0.381,8.0,0.417,1.417,1.0,7.17,0.349,15.0,0.396,1.28,0.884,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0,False
Zach Green,608339,137,7.0,5.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.143,14.0,0.25,0.214,0.464,0.0,0.0,0.0,2.0,66.0,16.0,3.0,1.0,7.0,0.0,0.0,0.25,5.0,0.0,0.0,0.143,2.0,0.25,0.464,0.214,0.0,0.143,2.0,0.25,0.464,0.214,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Adam Engel,641553,145,38.0,17.0,11.0,2.0,2.0,2.0,32.0,6.0,0.0,22.0,2.0,0.242,91.0,0.303,0.374,0.677,1.0,2.0,0.667,2.0,409.0,100.0,34.0,10.0,46.0,1.0,0.0,0.351,0.81,45.5,23.0,0.217,5.0,0.25,0.598,0.348,45.0,0.244,11.0,0.32,0.676,0.356,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Eloy Jimenez,650391,145,71.0,73.0,36.0,7.0,0.0,17.0,79.0,21.0,0.0,60.0,2.0,0.233,257.0,0.294,0.459,0.753,0.0,0.0,0.0,4.0,1071.0,282.0,118.0,39.0,114.0,0.0,2.0,0.264,1.55,15.12,23.0,0.13,3.0,0.13,0.391,0.261,16.67,0.16,8.0,0.246,0.586,0.34,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
James McCann,543510,145,78.0,66.0,41.0,16.0,0.0,12.0,92.0,20.0,1.0,81.0,3.0,0.278,291.0,0.331,0.457,0.788,0.0,4.0,1.0,10.0,1300.0,314.0,133.0,33.0,117.0,0.0,0.0,0.369,1.27,24.25,28.0,0.143,4.0,0.172,0.422,0.25,20.0,0.133,8.0,0.175,0.458,0.283,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Jon Jay,445055,145,27.0,34.0,10.0,7.0,0.0,0.0,20.0,4.0,0.0,33.0,1.0,0.324,102.0,0.352,0.392,0.744,0.0,0.0,0.0,1.0,442.0,110.0,40.0,7.0,30.0,2.0,1.0,0.398,1.89,0.0,0.0,0.321,9.0,0.321,0.678,0.357,0.0,0.339,20.0,0.35,0.774,0.424,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jose Abreu,547989,145,105.0,111.0,48.0,22.0,0.0,22.0,103.0,20.0,2.0,111.0,4.0,0.263,422.0,0.299,0.472,0.771,2.0,2.0,0.5,15.0,1770.0,451.0,199.0,74.0,185.0,0.0,5.0,0.295,1.09,19.18,0.0,0.111,3.0,0.138,0.249,0.111,60.0,0.217,13.0,0.25,0.533,0.283,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Leury Garcia,544725,145,98.0,119.0,66.0,21.0,0.0,6.0,98.0,16.0,0.0,115.0,5.0,0.292,394.0,0.326,0.391,0.717,4.0,12.0,0.75,4.0,1499.0,423.0,154.0,29.0,127.0,6.0,2.0,0.373,1.7,65.67,30.0,0.367,11.0,0.367,0.867,0.5,63.0,0.317,20.0,0.328,0.757,0.429,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Ryan Cordell,641477,145,69.0,33.0,15.0,6.0,0.0,5.0,58.0,11.0,0.0,41.0,2.0,0.234,175.0,0.286,0.354,0.64,0.0,2.0,1.0,2.0,766.0,194.0,62.0,18.0,80.0,5.0,1.0,0.319,0.67,35.0,0.0,0.222,4.0,0.263,0.485,0.222,20.5,0.268,11.0,0.279,0.718,0.439,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Ryan Goins,572365,145,14.0,9.0,4.0,4.0,0.0,2.0,11.0,7.0,0.0,12.0,0.0,0.293,41.0,0.396,0.537,0.932,0.0,0.0,0.0,2.0,221.0,48.0,22.0,3.0,10.0,0.0,0.0,0.357,1.0,20.5,0.0,0.227,5.0,0.346,0.664,0.318,20.5,0.293,12.0,0.396,0.933,0.537,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Tim Anderson,641313,145,73.0,77.0,39.0,14.0,0.0,11.0,62.0,7.0,0.0,87.0,3.0,0.31,281.0,0.332,0.477,0.809,4.0,15.0,0.789,6.0,986.0,292.0,134.0,38.0,104.0,0.0,1.0,0.364,1.38,25.54,26.0,0.269,7.0,0.259,0.721,0.462,31.0,0.274,17.0,0.27,0.705,0.435,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Welington Castillo,456078,145,46.0,39.0,8.0,5.0,0.0,5.0,45.0,13.0,0.0,25.0,3.0,0.176,142.0,0.258,0.317,0.575,0.0,0.0,0.0,5.0,623.0,159.0,45.0,16.0,62.0,0.0,1.0,0.215,1.15,28.4,0.0,0.077,1.0,0.188,0.265,0.077,0.0,0.143,6.0,0.196,0.386,0.19,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,5.0,0.2,1.0,0.333,0.533,0.2,0.0,False
Yolmer Sanchez,570560,145,97.0,73.0,36.0,12.0,3.0,2.0,78.0,24.0,1.0,78.0,4.0,0.249,313.0,0.31,0.326,0.636,4.0,5.0,0.556,6.0,1365.0,346.0,102.0,24.0,133.0,4.0,1.0,0.325,0.82,156.5,0.0,0.318,7.0,0.4,0.718,0.318,54.0,0.278,15.0,0.316,0.742,0.426,0.216,3.64,1.05,7.28,0.92,29.2,16.45,3.7,0.0,0.68,7.2,10.92,1.52,0.98,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Aaron Altherr,571437,121,33.0,9.0,6.0,1.0,0.0,1.0,19.0,2.0,0.0,3.0,0.0,0.067,45.0,0.104,0.156,0.26,0.0,0.0,0.0,1.0,211.0,48.0,7.0,3.0,23.0,0.0,1.0,0.077,0.6,45.0,0.0,0.125,1.0,0.111,0.236,0.125,21.0,0.095,2.0,0.13,0.368,0.238,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Adeiny Hechavarria,588751,121,54.0,39.0,20.0,7.0,0.0,5.0,25.0,8.0,0.0,29.0,1.0,0.236,123.0,0.288,0.415,0.703,1.0,3.0,0.75,2.0,489.0,132.0,51.0,18.0,47.0,0.0,0.0,0.258,1.3,24.6,0.0,0.133,2.0,0.35,0.55,0.2,30.0,0.267,8.0,0.371,0.838,0.467,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Amed Rosario,642708,121,105.0,103.0,49.0,20.0,6.0,11.0,88.0,24.0,2.0,109.0,1.0,0.274,398.0,0.315,0.437,0.752,5.0,12.0,0.706,9.0,1590.0,428.0,174.0,47.0,154.0,2.0,3.0,0.325,1.0,36.18,0.0,0.28,7.0,0.333,0.693,0.36,29.0,0.328,19.0,0.381,0.933,0.552,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
J.D. Davis,605204,121,91.0,72.0,34.0,12.0,1.0,10.0,56.0,24.0,1.0,74.0,2.0,0.298,248.0,0.365,0.476,0.841,0.0,1.0,1.0,7.0,1066.0,274.0,118.0,29.0,110.0,0.0,0.0,0.352,1.57,24.8,19.0,0.421,8.0,0.542,1.226,0.684,47.0,0.383,18.0,0.463,0.974,0.511,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Jeff McNeil,643446,121,94.0,84.0,54.0,27.0,1.0,11.0,54.0,21.0,2.0,119.0,15.0,0.331,359.0,0.392,0.504,0.897,5.0,4.0,0.444,4.0,1414.0,395.0,181.0,46.0,128.0,0.0,0.0,0.367,0.82,32.64,11.5,0.174,4.0,0.24,0.675,0.435,19.33,0.241,14.0,0.302,0.75,0.448,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Juan Lagares,501571,121,87.0,45.0,19.0,6.0,0.0,2.0,51.0,12.0,3.0,29.0,2.0,0.19,153.0,0.256,0.268,0.524,1.0,3.0,0.75,5.0,639.0,169.0,41.0,15.0,66.0,1.0,1.0,0.267,1.5,76.5,0.0,0.429,3.0,0.429,0.858,0.429,0.0,0.25,4.0,0.294,0.607,0.313,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Michael Conforto,624424,121,99.0,68.0,57.0,19.0,0.0,21.0,97.0,55.0,3.0,92.0,7.0,0.256,359.0,0.362,0.485,0.847,1.0,5.0,0.833,6.0,1699.0,425.0,174.0,57.0,143.0,0.0,4.0,0.29,0.64,17.1,9.0,0.333,9.0,0.438,1.142,0.704,15.0,0.333,20.0,0.394,0.961,0.567,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Pete Alonso,624413,121,107.0,92.0,66.0,21.0,2.0,34.0,117.0,52.0,1.0,99.0,14.0,0.254,389.0,0.36,0.581,0.941,0.0,1.0,1.0,9.0,1862.0,458.0,226.0,77.0,177.0,0.0,3.0,0.27,1.1,11.44,27.0,0.148,4.0,0.303,0.562,0.259,13.5,0.13,7.0,0.309,0.661,0.352,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Robinson Cano,429664,121,83.0,106.0,32.0,20.0,0.0,10.0,57.0,16.0,2.0,75.0,3.0,0.239,314.0,0.281,0.398,0.68,0.0,0.0,0.0,13.0,1164.0,334.0,125.0,31.0,141.0,0.0,1.0,0.262,1.38,31.4,30.0,0.133,4.0,0.161,0.428,0.267,14.75,0.186,11.0,0.222,0.646,0.424,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,3.0,3.0,0.667,2.0,0.667,2.667,2.0,1.0,True
Todd Frazier,453943,121,84.0,62.0,40.0,9.0,2.0,14.0,72.0,27.0,0.0,70.0,7.0,0.243,288.0,0.323,0.434,0.757,2.0,1.0,0.333,7.0,1302.0,322.0,125.0,42.0,121.0,0.0,0.0,0.277,0.74,20.57,25.0,0.28,7.0,0.357,0.837,0.48,28.5,0.211,12.0,0.274,0.678,0.404,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Tomas Nido,621512,121,33.0,34.0,5.0,3.0,0.0,3.0,25.0,4.0,1.0,22.0,0.0,0.224,98.0,0.255,0.347,0.602,0.0,0.0,0.0,3.0,345.0,103.0,34.0,13.0,49.0,1.0,0.0,0.271,1.89,32.67,0.0,0.063,1.0,0.167,0.292,0.125,46.0,0.217,10.0,0.265,0.591,0.326,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Wilson Ramos,467092,121,95.0,126.0,37.0,8.0,0.0,10.0,47.0,35.0,5.0,80.0,1.0,0.259,309.0,0.334,0.382,0.716,0.0,0.0,0.0,11.0,1136.0,347.0,118.0,47.0,129.0,0.0,2.0,0.276,2.17,30.9,25.0,0.24,6.0,0.286,0.646,0.36,52.0,0.192,10.0,0.246,0.515,0.269,0.269,6.11,1.3,9.32,1.61,28.0,18.21,7.07,1.0,0.6,1.93,8.68,4.5,1.54,0.2,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Beau Taylor,607333,133,9.0,9.0,3.0,0.0,0.0,2.0,6.0,4.0,0.0,4.0,1.0,0.182,22.0,0.333,0.455,0.788,0.0,0.0,0.0,0.0,123.0,27.0,10.0,2.0,10.0,0.0,0.0,0.143,3.0,11.0,9.0,0.167,3.0,0.286,0.786,0.5,11.0,0.182,4.0,0.333,0.788,0.455,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Chad Pinder,640461,133,81.0,77.0,32.0,14.0,0.0,9.0,54.0,11.0,0.0,56.0,4.0,0.242,231.0,0.285,0.42,0.705,1.0,0.0,0.0,9.0,884.0,249.0,97.0,33.0,107.0,0.0,3.0,0.275,1.64,25.67,16.0,0.188,3.0,0.278,0.778,0.5,18.0,0.25,9.0,0.282,0.754,0.472,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,2.0,2.0,0.5,1.0,0.5,2.5,2.0,0.0,True
Chris Herrmann,543302,133,16.0,11.0,5.0,3.0,0.0,1.0,18.0,3.0,0.0,12.0,0.0,0.245,49.0,0.288,0.367,0.656,0.0,0.0,0.0,2.0,220.0,52.0,18.0,7.0,31.0,0.0,0.0,0.367,1.38,49.0,0.0,0.15,3.0,0.227,0.427,0.2,0.0,0.239,11.0,0.271,0.575,0.304,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Franklin Barreto,620439,133,17.0,17.0,6.0,1.0,0.0,2.0,18.0,1.0,0.0,5.0,0.0,0.106,47.0,0.125,0.255,0.38,0.0,1.0,1.0,0.0,193.0,48.0,12.0,4.0,24.0,0.0,0.0,0.111,2.43,23.5,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.116,5.0,0.136,0.415,0.279,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Jurickson Profar,595777,133,96.0,99.0,41.0,15.0,1.0,14.0,56.0,24.0,2.0,70.0,6.0,0.209,335.0,0.272,0.385,0.658,0.0,7.0,1.0,8.0,1438.0,367.0,129.0,49.0,151.0,0.0,2.0,0.21,0.88,23.93,0.0,0.15,3.0,0.217,0.417,0.2,13.0,0.179,7.0,0.25,0.686,0.436,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Khris Davis,501981,133,92.0,78.0,45.0,8.0,0.0,17.0,98.0,30.0,3.0,79.0,3.0,0.23,343.0,0.297,0.402,0.699,0.0,0.0,0.0,7.0,1428.0,377.0,138.0,53.0,169.0,0.0,1.0,0.271,0.88,20.18,26.0,0.269,7.0,0.31,0.733,0.423,58.0,0.207,12.0,0.254,0.547,0.293,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,5.0,0.0,0.0,0.167,0.167,0.0,0.0,True
Marcus Semien,543760,133,111.0,122.0,80.0,27.0,4.0,17.0,69.0,60.0,1.0,121.0,1.0,0.271,447.0,0.358,0.463,0.821,6.0,6.0,0.5,9.0,2066.0,509.0,207.0,52.0,122.0,0.0,1.0,0.287,0.9,26.29,12.0,0.333,8.0,0.484,1.151,0.667,17.67,0.245,13.0,0.403,0.912,0.509,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,5.0,0.4,2.0,0.571,1.371,0.8,0.0,False
Mark Canha,592192,133,77.0,56.0,47.0,11.0,1.0,17.0,56.0,40.0,1.0,59.0,9.0,0.254,232.0,0.382,0.53,0.912,2.0,2.0,0.5,5.0,1181.0,283.0,123.0,31.0,96.0,0.0,2.0,0.261,0.89,13.65,23.0,0.304,7.0,0.448,0.97,0.522,13.75,0.273,15.0,0.375,0.92,0.545,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,4.0,0.5,2.0,0.6,1.6,1.0,0.0,True
Matt Chapman,656305,133,107.0,100.0,68.0,27.0,3.0,24.0,93.0,48.0,0.0,105.0,4.0,0.262,401.0,0.344,0.524,0.868,1.0,0.0,0.0,8.0,1918.0,456.0,210.0,64.0,134.0,0.0,3.0,0.282,0.94,16.71,13.5,0.074,2.0,0.133,0.429,0.296,17.0,0.176,9.0,0.232,0.644,0.412,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Matt Olson,621566,133,77.0,53.0,41.0,15.0,0.0,22.0,77.0,31.0,3.0,73.0,6.0,0.256,285.0,0.342,0.54,0.882,0.0,0.0,0.0,5.0,1363.0,322.0,154.0,47.0,114.0,0.0,0.0,0.274,0.65,12.96,25.0,0.2,5.0,0.333,0.773,0.44,27.0,0.259,14.0,0.365,0.791,0.426,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Nick Martini,605361,133,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.286,0.286,0.0,0.0,0.0,0.0,0.286,0.286,0.0,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Robbie Grossman,543257,133,93.0,78.0,38.0,17.0,1.0,5.0,55.0,42.0,1.0,72.0,0.0,0.246,293.0,0.339,0.362,0.701,4.0,8.0,0.667,5.0,1305.0,336.0,106.0,29.0,100.0,0.0,1.0,0.286,0.88,58.6,0.0,0.125,3.0,0.192,0.317,0.125,0.0,0.163,8.0,0.241,0.425,0.184,0.179,2.3,0.61,5.6,1.0,27.1,16.17,2.32,0.667,0.64,2.56,7.57,2.96,0.95,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Ben Gamel,592325,158,95.0,54.0,36.0,13.0,0.0,6.0,76.0,27.0,2.0,56.0,3.0,0.248,226.0,0.335,0.385,0.72,2.0,2.0,0.5,0.0,1081.0,257.0,87.0,27.0,77.0,0.0,1.0,0.345,1.32,37.67,10.0,0.2,2.0,0.273,0.773,0.5,25.0,0.2,5.0,0.31,0.63,0.32,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Christian Yelich,592885,158,100.0,88.0,79.0,23.0,3.0,36.0,87.0,59.0,15.0,126.0,6.0,0.332,380.0,0.426,0.692,1.118,2.0,23.0,0.92,8.0,1702.0,448.0,263.0,81.0,132.0,0.0,3.0,0.346,1.07,10.56,31.0,0.29,9.0,0.313,0.797,0.484,15.5,0.339,21.0,0.406,1.019,0.613,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,15.0,15.0,0.267,4.0,0.389,0.922,0.533,1.0,True
Eric Thames,519346,158,100.0,37.0,44.0,14.0,1.0,15.0,93.0,38.0,3.0,62.0,6.0,0.248,250.0,0.358,0.492,0.85,1.0,2.0,0.667,0.0,1252.0,296.0,123.0,40.0,117.0,0.0,2.0,0.326,0.62,16.67,20.0,0.1,2.0,0.28,0.53,0.25,20.0,0.125,5.0,0.239,0.564,0.325,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,9.0,0.444,4.0,0.545,0.989,0.444,1.0,True
Keston Hiura,669374,158,46.0,28.0,26.0,11.0,2.0,11.0,59.0,15.0,1.0,54.0,5.0,0.318,170.0,0.389,0.6,0.989,2.0,7.0,0.778,1.0,728.0,190.0,102.0,27.0,64.0,0.0,0.0,0.43,0.97,15.46,12.0,0.25,6.0,0.4,0.983,0.583,17.67,0.358,19.0,0.452,1.15,0.698,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Lorenzo Cain,456715,158,102.0,136.0,57.0,25.0,0.0,8.0,78.0,36.0,0.0,104.0,4.0,0.251,415.0,0.314,0.369,0.682,6.0,12.0,0.667,9.0,1854.0,459.0,153.0,37.0,143.0,0.0,4.0,0.288,1.35,51.88,25.0,0.24,6.0,0.286,0.686,0.4,18.33,0.255,14.0,0.333,0.806,0.473,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,10.0,0.4,4.0,0.5,1.1,0.6,0.0,False
Manny Pina,444489,158,50.0,21.0,8.0,3.0,0.0,6.0,27.0,12.0,1.0,20.0,2.0,0.204,98.0,0.304,0.418,0.722,0.0,0.0,0.0,1.0,460.0,112.0,41.0,16.0,54.0,0.0,0.0,0.215,0.7,16.33,7.5,0.4,6.0,0.471,1.271,0.8,10.0,0.333,10.0,0.394,1.061,0.667,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,6.0,12.0,0.5,6.0,0.5,1.5,1.0,0.0,False
Mike Moustakas,519058,158,101.0,88.0,62.0,23.0,1.0,26.0,71.0,36.0,2.0,101.0,6.0,0.26,388.0,0.332,0.526,0.858,0.0,3.0,1.0,10.0,1645.0,431.0,204.0,61.0,178.0,0.0,1.0,0.257,0.68,14.92,0.0,0.13,3.0,0.231,0.405,0.174,55.0,0.236,13.0,0.323,0.705,0.382,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,6.0,0.333,2.0,0.333,0.666,0.333,1.0,True
Orlando Arcia,606115,158,106.0,110.0,43.0,11.0,1.0,12.0,78.0,34.0,4.0,80.0,0.0,0.231,347.0,0.298,0.372,0.669,4.0,7.0,0.636,12.0,1538.0,384.0,129.0,39.0,166.0,1.0,2.0,0.263,1.34,28.92,0.0,0.273,6.0,0.385,0.658,0.273,0.0,0.238,10.0,0.347,0.585,0.238,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,17.0,0.176,3.0,0.222,0.398,0.176,0.0,True
Ryan Braun,460075,158,101.0,91.0,45.0,20.0,1.0,15.0,81.0,21.0,1.0,91.0,5.0,0.272,334.0,0.324,0.473,0.797,1.0,8.0,0.889,11.0,1319.0,364.0,158.0,50.0,146.0,0.0,1.0,0.318,1.26,22.27,20.0,0.25,5.0,0.318,0.818,0.5,15.33,0.261,12.0,0.314,0.879,0.565,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,14.0,56.0,0.339,19.0,0.383,1.026,0.643,0.0,True
Travis Shaw,543768,158,62.0,34.0,18.0,5.0,0.0,6.0,73.0,28.0,3.0,30.0,2.0,0.155,193.0,0.269,0.275,0.544,0.0,0.0,0.0,5.0,968.0,223.0,53.0,13.0,95.0,0.0,0.0,0.211,0.61,32.17,0.0,0.0,0.0,0.188,0.188,0.0,37.0,0.108,4.0,0.214,0.403,0.189,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,9.0,18.0,0.222,4.0,0.3,0.856,0.556,1.0,False
