Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Jose Abreu,547989,145,100.0,104.0,48.0,22.0,0.0,22.0,99.0,20.0,2.0,108.0,4.0,0.269,402.0,0.307,0.488,0.795,2.0,2.0,0.5,13.0,1678.0,430.0,196.0,72.0,171.0,0.0,4.0,0.302,1.09,0.185,5.0,0.267,0.6,0.333,0.246,15.0,0.281,0.642,0.361,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,27.0,0.259,7.0,0.333,0.74,0.407,0.0
Jose Rondon,602922,145,53.0,42.0,9.0,3.0,0.0,3.0,38.0,11.0,0.0,26.0,2.0,0.188,138.0,0.258,0.275,0.534,0.0,0.0,0.0,4.0,650.0,152.0,38.0,9.0,77.0,1.0,0.0,0.237,1.27,0.133,2.0,0.188,0.321,0.133,0.114,4.0,0.205,0.405,0.2,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,6.0,0.167,1.0,0.167,0.334,0.167,0.0
Leury Garcia,544725,145,92.0,114.0,63.0,20.0,0.0,5.0,91.0,16.0,0.0,105.0,5.0,0.286,367.0,0.323,0.381,0.705,4.0,10.0,0.714,3.0,1414.0,396.0,140.0,28.0,119.0,6.0,2.0,0.366,1.75,0.286,8.0,0.31,0.703,0.393,0.232,13.0,0.283,0.569,0.286,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,18.0,0.278,5.0,0.278,0.722,0.444,1.0
Ryan Cordell,641477,145,67.0,32.0,15.0,6.0,0.0,5.0,58.0,11.0,0.0,41.0,2.0,0.241,170.0,0.293,0.365,0.658,0.0,2.0,1.0,2.0,750.0,189.0,62.0,18.0,75.0,5.0,1.0,0.333,0.71,0.3,6.0,0.333,0.633,0.3,0.275,11.0,0.302,0.752,0.45,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Goins,572365,145,8.0,3.0,3.0,2.0,0.0,2.0,7.0,4.0,0.0,7.0,0.0,0.318,22.0,0.423,0.682,1.105,0.0,0.0,0.0,1.0,120.0,26.0,15.0,3.0,4.0,0.0,0.0,0.385,0.6,0.263,5.0,0.391,0.917,0.526,0.318,7.0,0.423,1.105,0.682,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,3.0,0.333,1.0,0.333,0.666,0.333,1.0
Welington Castillo,456078,145,41.0,35.0,8.0,5.0,0.0,5.0,42.0,11.0,0.0,24.0,3.0,0.182,132.0,0.26,0.333,0.594,0.0,0.0,0.0,5.0,578.0,146.0,44.0,15.0,56.0,0.0,0.0,0.224,1.13,0.12,3.0,0.12,0.32,0.2,0.191,9.0,0.208,0.57,0.362,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,9.0,0.222,2.0,0.3,0.522,0.222,0.0
Yoan Moncada,660162,145,93.0,68.0,56.0,19.0,3.0,19.0,110.0,30.0,1.0,108.0,3.0,0.299,361.0,0.356,0.526,0.882,3.0,7.0,0.7,1.0,1579.0,397.0,190.0,57.0,135.0,1.0,2.0,0.38,0.87,0.25,7.0,0.3,0.8,0.5,0.254,15.0,0.323,0.747,0.424,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,15.0,0.2,3.0,0.333,0.6,0.267,1.0
Yolmer Sanchez,570560,145,91.0,69.0,32.0,12.0,3.0,2.0,73.0,21.0,0.0,72.0,4.0,0.245,294.0,0.303,0.327,0.63,4.0,3.0,0.429,6.0,1283.0,324.0,96.0,24.0,128.0,4.0,1.0,0.318,0.81,0.222,6.0,0.222,0.741,0.519,0.196,11.0,0.211,0.568,0.357,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,33.0,0.212,7.0,0.235,0.599,0.364,1.0
Byron Buxton,621439,142,76.0,42.0,45.0,26.0,4.0,9.0,63.0,19.0,1.0,63.0,2.0,0.253,249.0,0.311,0.498,0.809,3.0,13.0,0.813,3.0,952.0,272.0,124.0,42.0,123.0,2.0,0.0,0.305,0.51,0.259,7.0,0.31,0.791,0.481,0.189,10.0,0.271,0.648,0.377,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,7.0,0.143,1.0,0.143,0.286,0.143,0.0
Eddie Rosario,592696,142,85.0,86.0,56.0,15.0,1.0,22.0,49.0,15.0,1.0,98.0,0.0,0.284,345.0,0.312,0.525,0.837,1.0,3.0,0.75,7.0,1275.0,362.0,181.0,68.0,147.0,0.0,2.0,0.275,0.75,0.286,8.0,0.31,0.739,0.429,0.379,22.0,0.39,0.976,0.586,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,15.0,0.267,4.0,0.267,0.867,0.6,1.0
