Name,ID,Team,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Lourdes Gurriel Jr.,666971,141,84.0,66.0,79.0,52.0,19.0,2.0,20.0,86.0,20.0,0.0,87.0,5.0,0.277,314.0,0.327,0.541,0.869,4.0,6.0,0.6,4.0,1283.0,343.0,170.0,50.0,121.0,1.0,3.0,0.318,0.84,15.7,14.5,0.276,8.0,0.29,0.807,0.517,26.0,0.212,11.0,0.288,0.653,0.365,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0,False
Luke Maile,571912,141,42.0,36.0,31.0,9.0,2.0,1.0,2.0,31.0,7.0,0.0,17.0,0.0,0.15,113.0,0.2,0.239,0.439,0.0,1.0,1.0,1.0,479.0,122.0,27.0,9.0,39.0,2.0,0.0,0.188,1.16,56.5,0.0,0.111,2.0,0.111,0.333,0.222,0.0,0.105,4.0,0.15,0.334,0.184,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Randal Grichuk,545341,141,147.0,131.0,149.0,74.0,29.0,4.0,31.0,159.0,35.0,0.0,135.0,5.0,0.236,572.0,0.285,0.463,0.748,1.0,2.0,0.667,19.0,2355.0,614.0,265.0,79.0,259.0,0.0,2.0,0.271,0.88,18.45,10.33,0.258,8.0,0.303,0.916,0.613,9.0,0.286,18.0,0.308,1.038,0.73,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,3.0,0.667,2.0,0.75,3.417,2.667,0.0,True
Reese McGuire,624512,141,28.0,20.0,23.0,12.0,6.0,0.0,5.0,18.0,7.0,0.0,28.0,0.0,0.315,89.0,0.365,0.551,0.915,0.0,0.0,0.0,1.0,339.0,97.0,49.0,10.0,25.0,0.0,0.0,0.348,0.87,17.8,0.0,0.318,7.0,0.4,0.855,0.455,22.0,0.409,18.0,0.49,1.126,0.636,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Richard Urena,620446,141,27.0,18.0,11.0,4.0,5.0,0.0,0.0,20.0,2.0,0.0,17.0,1.0,0.27,63.0,0.303,0.349,0.652,0.0,0.0,0.0,0.0,254.0,69.0,22.0,3.0,17.0,3.0,0.0,0.395,1.64,0.0,0.0,0.357,5.0,0.438,0.938,0.5,0.0,0.233,7.0,0.281,0.581,0.3,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Rowdy Tellez,642133,141,106.0,82.0,84.0,46.0,16.0,0.0,19.0,110.0,29.0,3.0,77.0,7.0,0.22,350.0,0.29,0.429,0.719,1.0,1.0,0.5,9.0,1529.0,389.0,150.0,50.0,163.0,0.0,3.0,0.259,0.98,18.42,0.0,0.211,4.0,0.444,0.707,0.263,15.33,0.217,10.0,0.351,0.808,0.457,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,True
Teoscar Hernandez,606192,141,121.0,73.0,94.0,54.0,18.0,2.0,23.0,151.0,41.0,1.0,90.0,1.0,0.221,407.0,0.293,0.445,0.738,3.0,4.0,0.571,8.0,1863.0,450.0,181.0,59.0,175.0,0.0,1.0,0.286,0.78,17.7,31.0,0.226,7.0,0.273,0.725,0.452,28.0,0.232,13.0,0.271,0.7,0.429,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Vladimir Guerrero Jr.,665489,141,120.0,132.0,111.0,52.0,26.0,2.0,15.0,87.0,46.0,0.0,125.0,2.0,0.276,453.0,0.344,0.442,0.785,1.0,0.0,0.0,17.0,1932.0,503.0,200.0,69.0,201.0,0.0,2.0,0.312,1.19,30.2,0.0,0.353,12.0,0.371,0.783,0.412,0.0,0.277,18.0,0.304,0.658,0.354,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,4.0,0.5,2.0,0.5,1.0,0.5,0.0,True
Anthony Santander,623993,110,93.0,84.0,115.0,46.0,20.0,1.0,20.0,86.0,19.0,0.0,99.0,2.0,0.261,380.0,0.297,0.476,0.773,2.0,1.0,0.333,1.0,1659.0,405.0,181.0,59.0,166.0,1.0,3.0,0.285,0.73,19.0,17.0,0.147,5.0,0.194,0.547,0.353,22.67,0.118,8.0,0.155,0.42,0.265,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,5.0,0.4,2.0,0.4,1.6,1.2,1.0,False
Austin Hays,669720,110,16.0,13.0,13.0,8.0,4.0,0.0,4.0,9.0,4.0,0.0,16.0,0.0,0.314,51.0,0.364,0.627,0.991,0.0,1.0,1.0,0.0,221.0,55.0,32.0,12.0,12.0,0.0,0.0,0.316,1.0,12.75,7.25,0.345,10.0,0.387,1.215,0.828,12.25,0.327,16.0,0.377,1.03,0.653,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,5.0,0.8,4.0,0.8,3.2,2.4,0.0,True
Austin Wynns,642851,110,24.0,22.0,13.0,6.0,1.0,0.0,0.0,8.0,3.0,0.0,12.0,0.0,0.222,54.0,0.263,0.241,0.504,0.0,0.0,0.0,2.0,202.0,58.0,13.0,3.0,20.0,1.0,0.0,0.261,1.69,0.0,0.0,0.182,2.0,0.182,0.364,0.182,0.0,0.185,5.0,0.214,0.399,0.185,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Chance Sisco,642082,110,58.0,33.0,37.0,29.0,7.0,0.0,8.0,60.0,20.0,0.0,35.0,9.0,0.212,165.0,0.33,0.4,0.73,1.0,0.0,0.0,5.0,835.0,194.0,66.0,20.0,67.0,0.0,0.0,0.278,0.89,20.62,0.0,0.154,2.0,0.45,0.681,0.231,14.0,0.179,5.0,0.361,0.79,0.429,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,1.0,0.0,0.0,0.5,0.5,0.0,1.0,False
Chris Davis,448801,110,103.0,56.0,57.0,25.0,8.0,0.0,12.0,137.0,36.0,1.0,54.0,3.0,0.179,301.0,0.271,0.326,0.597,0.0,0.0,0.0,6.0,1476.0,343.0,98.0,36.0,121.0,0.0,3.0,0.271,0.98,25.08,12.0,0.25,6.0,0.333,0.833,0.5,14.0,0.19,8.0,0.32,0.725,0.405,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,30.0,0.3,9.0,0.475,1.008,0.533,1.0,True
DJ Stewart,621466,110,40.0,36.0,30.0,13.0,5.0,0.0,2.0,24.0,7.0,1.0,26.0,1.0,0.226,115.0,0.274,0.322,0.596,1.0,1.0,0.5,3.0,481.0,124.0,37.0,9.0,52.0,0.0,1.0,0.267,1.2,57.5,0.0,0.176,3.0,0.167,0.402,0.235,18.0,0.222,8.0,0.256,0.673,0.417,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,2.0,0.5,1.0,0.5,1.0,0.5,1.0,False
Dwight Smith Jr,596105,110,98.0,102.0,89.0,44.0,16.0,3.0,12.0,78.0,25.0,0.0,82.0,3.0,0.237,346.0,0.291,0.405,0.696,1.0,5.0,0.833,8.0,1446.0,379.0,140.0,50.0,137.0,1.0,4.0,0.269,1.15,28.83,0.0,0.263,5.0,0.3,0.668,0.368,0.0,0.25,9.0,0.289,0.622,0.333,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Hanser Alberto,593643,110,136.0,165.0,147.0,60.0,21.0,2.0,12.0,49.0,16.0,1.0,158.0,3.0,0.308,513.0,0.331,0.427,0.758,4.0,4.0,0.5,9.0,1718.0,538.0,219.0,50.0,177.0,3.0,3.0,0.321,1.12,42.75,29.0,0.172,5.0,0.2,0.476,0.276,64.0,0.219,14.0,0.254,0.52,0.266,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jonathan Villar,542340,110,157.0,165.0,121.0,108.0,32.0,5.0,24.0,168.0,60.0,0.0,170.0,4.0,0.275,618.0,0.341,0.46,0.801,9.0,38.0,0.809,8.0,2745.0,689.0,284.0,71.0,234.0,2.0,4.0,0.34,1.36,25.75,11.33,0.265,9.0,0.324,0.883,0.559,16.25,0.246,16.0,0.31,0.802,0.492,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,6.0,0.667,4.0,0.667,2.334,1.667,1.0,True
Mark Trumbo,444432,110,11.0,9.0,7.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.2,25.0,0.259,0.32,0.579,0.0,0.0,0.0,2.0,111.0,27.0,8.0,3.0,9.0,0.0,0.0,0.238,1.29,0.0,0.0,0.125,2.0,0.222,0.347,0.125,0.0,0.2,5.0,0.259,0.579,0.32,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,14.0,0.214,3.0,0.316,0.745,0.429,0.0,False
Mason Williams,592863,110,11.0,6.0,11.0,4.0,1.0,0.0,0.0,6.0,3.0,0.0,8.0,0.0,0.267,30.0,0.324,0.3,0.624,0.0,1.0,1.0,0.0,126.0,34.0,9.0,2.0,12.0,0.0,1.0,0.32,0.55,0.0,0.0,0.235,4.0,0.333,0.568,0.235,0.0,0.267,8.0,0.324,0.624,0.3,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,7.0,0.286,2.0,0.286,0.572,0.286,1.0,False
Pedro Severino,600474,110,96.0,78.0,81.0,37.0,13.0,0.0,13.0,73.0,29.0,0.0,76.0,4.0,0.249,305.0,0.321,0.42,0.74,1.0,3.0,0.75,5.0,1400.0,341.0,128.0,44.0,142.0,1.0,2.0,0.285,0.96,23.46,0.0,0.111,2.0,0.158,0.269,0.111,19.0,0.211,8.0,0.302,0.697,0.395,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Renato Nunez,600524,110,146.0,99.0,163.0,69.0,23.0,0.0,29.0,135.0,44.0,1.0,128.0,10.0,0.246,521.0,0.314,0.457,0.771,1.0,1.0,0.5,9.0,2384.0,579.0,238.0,83.0,222.0,0.0,4.0,0.274,0.61,17.97,0.0,0.167,4.0,0.259,0.467,0.208,44.0,0.205,9.0,0.308,0.603,0.295,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Richie Martin,621006,110,117.0,85.0,60.0,26.0,7.0,3.0,5.0,81.0,14.0,0.0,55.0,6.0,0.2,275.0,0.253,0.302,0.555,1.0,10.0,0.909,6.0,1198.0,301.0,83.0,21.0,135.0,5.0,1.0,0.263,1.42,55.0,0.0,0.333,2.0,0.429,0.929,0.5,25.0,0.28,7.0,0.296,0.736,0.44,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rio Ruiz,547004,110,123.0,95.0,91.0,34.0,13.0,2.0,12.0,86.0,39.0,0.0,83.0,0.0,0.236,352.0,0.31,0.386,0.697,1.0,0.0,0.0,11.0,1525.0,394.0,136.0,44.0,124.0,1.0,2.0,0.277,1.04,29.33,21.0,0.19,4.0,0.32,0.844,0.524,15.0,0.244,11.0,0.346,0.902,0.556,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,3.0,0.333,1.0,0.5,1.167,0.667,1.0,True
Stevie Wilkerson,592859,110,113.0,80.0,64.0,39.0,18.0,2.0,10.0,104.0,20.0,0.0,72.0,7.0,0.226,318.0,0.285,0.39,0.675,3.0,2.0,0.4,5.0,1419.0,347.0,124.0,35.0,135.0,0.0,2.0,0.301,1.25,31.8,0.0,0.368,7.0,0.455,1.034,0.579,0.0,0.333,9.0,0.455,0.974,0.519,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,4.0,0.25,1.0,0.25,0.5,0.25,1.0,True
Trey Mancini,641820,110,149.0,161.0,123.0,101.0,36.0,2.0,34.0,137.0,59.0,3.0,167.0,9.0,0.286,583.0,0.358,0.53,0.888,0.0,1.0,1.0,20.0,2602.0,656.0,309.0,93.0,229.0,0.0,5.0,0.319,1.31,17.15,16.0,0.438,14.0,0.487,1.237,0.75,16.0,0.359,23.0,0.419,1.044,0.625,0.347,8.49,1.11,12.73,2.34,23.1,18.13,8.96,0.0,0.66,2.0,6.94,3.47,1.8,0.33,5.0,0.6,3.0,0.667,1.467,0.8,0.0,True
Austin Meadows,640457,139,134.0,98.0,140.0,81.0,29.0,7.0,32.0,127.0,51.0,6.0,150.0,7.0,0.291,515.0,0.363,0.561,0.924,6.0,12.0,0.667,3.0,2399.0,573.0,289.0,88.0,186.0,0.0,0.0,0.331,0.7,16.09,13.5,0.333,9.0,0.455,1.048,0.593,11.6,0.345,20.0,0.441,1.079,0.638,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Avisail Garcia,541645,139,122.0,116.0,109.0,59.0,24.0,2.0,19.0,123.0,31.0,2.0,134.0,7.0,0.28,479.0,0.331,0.457,0.788,4.0,10.0,0.714,15.0,1862.0,520.0,219.0,70.0,223.0,0.0,3.0,0.338,1.06,25.21,0.0,0.346,9.0,0.393,0.816,0.423,28.5,0.333,19.0,0.35,0.911,0.561,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,5.0,0.4,2.0,0.4,1.0,0.6,0.0,True
Brandon Lowe,664040,139,78.0,41.0,60.0,42.0,17.0,2.0,17.0,106.0,23.0,0.0,79.0,5.0,0.277,285.0,0.341,0.53,0.871,0.0,5.0,1.0,1.0,1253.0,314.0,151.0,50.0,136.0,0.0,1.0,0.38,0.68,16.76,11.5,0.261,6.0,0.37,0.892,0.522,26.5,0.208,11.0,0.3,0.696,0.396,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,2.0,0.5,1.0,0.5,2.5,2.0,1.0,True
Daniel Robertson,621002,139,70.0,60.0,40.0,23.0,9.0,1.0,2.0,58.0,24.0,0.0,42.0,6.0,0.21,200.0,0.313,0.295,0.608,2.0,2.0,0.5,10.0,953.0,230.0,59.0,19.0,93.0,0.0,0.0,0.286,1.5,100.0,0.0,0.214,3.0,0.313,0.67,0.357,0.0,0.226,7.0,0.333,0.656,0.323,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Eric Sogard,519299,139,110.0,87.0,137.0,59.0,23.0,2.0,13.0,63.0,38.0,2.0,115.0,2.0,0.29,396.0,0.353,0.457,0.81,0.0,8.0,1.0,4.0,1751.0,442.0,181.0,40.0,109.0,3.0,3.0,0.316,0.64,30.46,0.0,0.0,0.0,0.071,0.071,0.0,0.0,0.186,8.0,0.222,0.408,0.186,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Guillermo Heredia,628338,139,87.0,51.0,48.0,31.0,13.0,0.0,5.0,59.0,18.0,0.0,45.0,6.0,0.225,200.0,0.307,0.365,0.672,2.0,2.0,0.5,4.0,903.0,227.0,73.0,19.0,90.0,2.0,1.0,0.292,1.06,40.0,8.0,0.25,2.0,0.333,1.083,0.75,13.5,0.259,7.0,0.286,0.879,0.593,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,False
Jesus Aguilar,542583,139,127.0,74.0,88.0,39.0,12.0,0.0,12.0,76.0,43.0,0.0,74.0,2.0,0.243,305.0,0.333,0.4,0.733,0.0,0.0,0.0,12.0,1474.0,360.0,122.0,49.0,130.0,0.0,7.0,0.277,0.84,25.42,4.5,0.444,4.0,0.462,1.573,1.111,11.0,0.273,9.0,0.35,0.956,0.606,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Ji-Man Choi,596847,139,124.0,94.0,104.0,52.0,19.0,2.0,17.0,106.0,63.0,2.0,103.0,6.0,0.258,400.0,0.361,0.443,0.804,3.0,2.0,0.4,7.0,1971.0,476.0,177.0,61.0,174.0,0.0,7.0,0.303,0.9,23.53,13.0,0.231,6.0,0.276,0.814,0.538,11.25,0.244,11.0,0.41,0.988,0.578,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,2.0,0.5,1.0,0.5,2.5,2.0,1.0,True
Joey Wendle,621563,139,70.0,70.0,65.0,30.0,13.0,2.0,2.0,42.0,13.0,0.0,52.0,8.0,0.23,226.0,0.292,0.332,0.624,3.0,8.0,0.727,4.0,977.0,250.0,75.0,18.0,95.0,0.0,3.0,0.27,1.08,113.0,27.0,0.148,4.0,0.258,0.517,0.259,58.0,0.276,16.0,0.323,0.72,0.397,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Johnny Davis,643275,139,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Kevin Kiermaier,595281,139,125.0,141.0,99.0,59.0,19.0,7.0,13.0,99.0,25.0,2.0,99.0,5.0,0.227,436.0,0.276,0.392,0.668,5.0,19.0,0.792,8.0,1728.0,468.0,171.0,54.0,183.0,1.0,1.0,0.265,1.42,33.54,0.0,0.05,1.0,0.136,0.186,0.05,0.0,0.098,4.0,0.213,0.335,0.122,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Matt Duffy,622110,139,42.0,51.0,27.0,11.0,7.0,0.0,0.0,24.0,17.0,0.0,33.0,2.0,0.246,134.0,0.338,0.299,0.636,1.0,0.0,0.0,4.0,607.0,154.0,40.0,10.0,38.0,0.0,1.0,0.297,1.89,0.0,0.0,0.333,7.0,0.391,0.82,0.429,0.0,0.297,11.0,0.413,0.764,0.351,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Michael Brosseau,670712,139,47.0,26.0,31.0,17.0,7.0,0.0,6.0,36.0,7.0,0.0,35.0,2.0,0.276,127.0,0.324,0.472,0.796,0.0,1.0,1.0,3.0,571.0,137.0,60.0,16.0,49.0,1.0,0.0,0.341,0.84,21.17,7.0,0.286,2.0,0.444,1.158,0.714,27.0,0.222,6.0,0.3,0.67,0.37,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Michael Perez,605421,139,20.0,8.0,9.0,6.0,5.0,0.0,0.0,17.0,6.0,0.0,10.0,1.0,0.227,44.0,0.333,0.341,0.674,0.0,0.0,0.0,0.0,200.0,51.0,15.0,2.0,8.0,0.0,0.0,0.37,0.89,0.0,0.0,0.111,1.0,0.2,0.422,0.222,0.0,0.207,6.0,0.343,0.619,0.276,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Mike Zunino,572287,139,87.0,56.0,65.0,30.0,10.0,1.0,9.0,96.0,20.0,0.0,44.0,3.0,0.169,261.0,0.236,0.318,0.554,0.0,0.0,0.0,4.0,1167.0,284.0,83.0,32.0,151.0,0.0,0.0,0.224,0.86,29.0,14.0,0.143,2.0,0.143,0.5,0.357,32.0,0.156,5.0,0.206,0.456,0.25,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,4.0,0.5,2.0,0.5,1.25,0.75,0.0,False
Nate Lowe,663993,139,46.0,30.0,29.0,22.0,7.0,0.0,7.0,48.0,12.0,0.0,38.0,2.0,0.266,143.0,0.327,0.462,0.789,0.0,0.0,0.0,4.0,668.0,159.0,66.0,19.0,72.0,0.0,2.0,0.344,1.03,20.43,19.0,0.211,4.0,0.25,0.618,0.368,38.0,0.158,6.0,0.175,0.412,0.237,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Tommy Pham,502054,139,141.0,170.0,112.0,75.0,32.0,2.0,20.0,119.0,79.0,4.0,151.0,5.0,0.274,551.0,0.369,0.448,0.818,3.0,23.0,0.885,21.0,2531.0,636.0,247.0,66.0,233.0,0.0,1.0,0.317,1.52,27.55,0.0,0.233,7.0,0.281,0.581,0.3,0.0,0.226,14.0,0.273,0.563,0.29,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,12.0,0.167,2.0,0.286,0.619,0.333,0.0,False
Travis d'Arnaud,518595,139,99.0,83.0,93.0,51.0,15.0,0.0,16.0,81.0,32.0,0.0,85.0,2.0,0.253,336.0,0.316,0.44,0.757,1.0,0.0,0.0,4.0,1451.0,376.0,148.0,69.0,144.0,0.0,6.0,0.282,0.89,21.0,0.0,0.313,10.0,0.303,0.678,0.375,55.0,0.255,14.0,0.295,0.677,0.382,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,8.0,0.25,2.0,0.25,0.5,0.25,0.0,True
Willy Adames,642715,139,148.0,133.0,110.0,69.0,25.0,1.0,20.0,149.0,45.0,1.0,132.0,3.0,0.254,520.0,0.316,0.421,0.737,2.0,4.0,0.667,9.0,2281.0,572.0,219.0,51.0,223.0,3.0,1.0,0.318,1.21,26.0,13.0,0.308,8.0,0.321,0.936,0.615,15.33,0.326,15.0,0.385,1.015,0.63,0.234,6.0,0.85,8.25,2.25,12.0,19.08,6.0,1.0,0.61,3.0,13.5,4.5,1.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Andrew Benintendi,643217,111,135.0,116.0,142.0,69.0,40.0,5.0,13.0,138.0,58.0,1.0,142.0,7.0,0.268,530.0,0.345,0.436,0.781,3.0,10.0,0.769,6.0,2384.0,603.0,231.0,68.0,210.0,3.0,5.0,0.336,0.82,40.77,0.0,0.2,4.0,0.304,0.554,0.25,0.0,0.116,5.0,0.22,0.36,0.14,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,9.0,0.333,3.0,0.364,0.697,0.333,1.0,False
Brock Holt,571788,111,83.0,62.0,58.0,37.0,14.0,2.0,3.0,54.0,28.0,1.0,74.0,4.0,0.303,244.0,0.379,0.414,0.793,0.0,1.0,1.0,3.0,1164.0,280.0,101.0,31.0,108.0,0.0,4.0,0.372,1.07,81.33,0.0,0.208,5.0,0.367,0.659,0.292,0.0,0.24,12.0,0.321,0.601,0.28,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Chris Owings,572008,111,62.0,48.0,28.0,12.0,6.0,1.0,2.0,73.0,13.0,0.0,22.0,2.0,0.129,171.0,0.199,0.211,0.409,1.0,4.0,0.8,2.0,737.0,186.0,36.0,11.0,76.0,0.0,0.0,0.208,1.71,85.5,0.0,0.133,2.0,0.278,0.478,0.2,0.0,0.13,3.0,0.259,0.433,0.174,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,1.0,0.0,0.0,0.667,0.667,0.0,0.0,False
Christian Vazquez,543877,111,134.0,119.0,130.0,63.0,26.0,1.0,22.0,100.0,31.0,3.0,129.0,0.0,0.273,472.0,0.316,0.472,0.789,2.0,4.0,0.667,16.0,1959.0,509.0,223.0,69.0,207.0,3.0,3.0,0.303,0.92,21.46,21.0,0.286,6.0,0.444,0.92,0.476,16.0,0.25,12.0,0.345,0.824,0.479,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,7.0,0.286,2.0,0.375,0.804,0.429,0.0,False
