Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Hanser Alberto,593643,110,109.0,126.0,43.0,18.0,2.0,9.0,39.0,12.0,1.0,126.0,3.0,0.313,402.0,0.336,0.435,0.771,2.0,4.0,0.667,6.0,1347.0,422.0,175.0,43.0,141.0,2.0,3.0,0.328,1.09,44.67,15.0,0.233,7.0,0.258,0.791,0.533,20.33,0.295,18.0,0.313,0.887,0.574,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,6.0,0.333,2.0,0.333,0.666,0.333,1.0,False
Jace Peterson,607054,110,25.0,22.0,13.0,3.0,1.0,2.0,21.0,6.0,0.0,20.0,1.0,0.225,89.0,0.278,0.348,0.627,1.0,4.0,0.8,1.0,398.0,97.0,31.0,11.0,29.0,0.0,1.0,0.269,0.81,44.5,0.0,0.167,4.0,0.259,0.467,0.208,25.5,0.255,13.0,0.328,0.799,0.471,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,3.0,0.333,1.0,0.5,1.167,0.667,0.0,False
Jonathan Villar,542340,110,128.0,135.0,84.0,28.0,4.0,17.0,137.0,52.0,0.0,137.0,3.0,0.276,497.0,0.347,0.451,0.797,8.0,28.0,0.778,8.0,2238.0,556.0,224.0,57.0,177.0,2.0,2.0,0.348,1.47,29.24,12.5,0.4,10.0,0.5,1.18,0.68,26.5,0.34,18.0,0.462,0.971,0.509,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,7.0,0.286,2.0,0.375,0.661,0.286,0.0,False
Pedro Severino,600474,110,76.0,63.0,29.0,11.0,0.0,10.0,64.0,24.0,0.0,62.0,4.0,0.251,247.0,0.325,0.417,0.742,1.0,2.0,0.667,3.0,1155.0,278.0,103.0,30.0,116.0,1.0,2.0,0.297,1.03,24.7,0.0,0.095,2.0,0.174,0.317,0.143,0.0,0.14,7.0,0.246,0.426,0.18,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,7.0,0.0,0.0,0.125,0.125,0.0,1.0,False
Renato Nunez,600524,110,122.0,87.0,64.0,21.0,0.0,28.0,116.0,39.0,1.0,108.0,7.0,0.243,444.0,0.313,0.48,0.793,1.0,0.0,0.0,7.0,2041.0,492.0,213.0,73.0,186.0,0.0,2.0,0.265,0.64,15.86,11.0,0.182,4.0,0.345,0.8,0.455,17.33,0.231,12.0,0.311,0.734,0.423,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,7.0,0.429,3.0,0.429,1.286,0.857,1.0,True
Richie Martin,621006,110,99.0,74.0,24.0,6.0,3.0,4.0,75.0,14.0,0.0,48.0,5.0,0.198,243.0,0.256,0.296,0.552,1.0,7.0,0.875,6.0,1070.0,266.0,72.0,13.0,122.0,4.0,0.0,0.268,1.48,60.75,0.0,0.286,4.0,0.333,0.619,0.286,0.0,0.286,8.0,0.355,0.641,0.286,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Rio Ruiz,547004,110,98.0,69.0,26.0,9.0,1.0,8.0,71.0,30.0,0.0,69.0,0.0,0.246,281.0,0.316,0.37,0.686,1.0,0.0,0.0,7.0,1218.0,314.0,104.0,35.0,106.0,1.0,2.0,0.299,0.92,35.12,15.0,0.267,4.0,0.421,0.954,0.533,11.33,0.324,11.0,0.385,1.003,0.618,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Stevie Wilkerson,592859,110,91.0,69.0,33.0,15.0,1.0,10.0,92.0,13.0,0.0,62.0,5.0,0.225,275.0,0.272,0.396,0.668,3.0,2.0,0.4,4.0,1199.0,294.0,109.0,33.0,123.0,0.0,1.0,0.299,1.3,27.5,0.0,0.211,4.0,0.286,0.549,0.263,21.5,0.233,10.0,0.267,0.686,0.419,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,5.0,0.2,1.0,0.2,0.4,0.2,0.0,False
Trey Mancini,641820,110,122.0,134.0,83.0,29.0,2.0,29.0,113.0,48.0,2.0,130.0,5.0,0.273,477.0,0.343,0.524,0.867,0.0,1.0,1.0,15.0,2139.0,533.0,250.0,74.0,191.0,0.0,3.0,0.299,1.3,16.45,0.0,0.24,6.0,0.387,0.747,0.36,17.67,0.226,12.0,0.379,0.832,0.453,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,11.0,0.091,1.0,0.167,0.349,0.182,1.0,True
Austin Meadows,640457,139,106.0,73.0,55.0,21.0,7.0,22.0,108.0,39.0,5.0,113.0,5.0,0.278,406.0,0.349,0.527,0.876,5.0,9.0,0.643,1.0,1867.0,450.0,214.0,63.0,152.0,0.0,0.0,0.33,0.65,18.46,14.0,0.214,6.0,0.29,0.826,0.536,14.25,0.246,14.0,0.283,0.809,0.526,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,6.0,0.167,1.0,0.167,0.834,0.667,0.0,True
